Atualizado em: 2026-04-06
"ICAO";"Estrangeira";"Razao";"Servico";"Endereco";"Cidade";"UF";"CEP";"Telefone";"Email";"Instrumento";"Data";"Ativa"
"";"..";"AERO GRALHA AZUL SERVIÇOS AÉREOS ESPECIALIZADOS LTDA";"VOOS PANORÂMICOS";" PONTE NOVA, Nº 57 / HANGAR 1, BAIRRO SÃO CRISTOVÃO";"PARÁ DE MINAS";"MG";"35.660-970";"(31) 99328-6317";"angelonuic@yahoo.com.br";"PORTARIA Nº 8452, DE 30 DE JUNHO DE 2022";"6/30/2022 12:00:00 AM";"ATIVA"
"";"";"ALFA AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA JOSÉ LOURENÇO LISBOA, Nº 131, CENTRO ";"SÃO GABRIEL";"RS";"97.300-134";".";"diego_mozza4@hotmail.com";"Portaria nº 15.312, DE 26 de agosto de 2024";"8/29/2024 12:00:00 AM";"ATIVA"
"";"";"FOREST AVIATION LTDA";"AEROAGRÍCOLA";"SETOR DE MULTIPLAS ATIVIDADES SUL, TRECHO 3, LOTE 1, SALA 301 S/N ";"BRASÍLIA";"DF";"70.610-051";".";"contato@alberiforest.com.br";"Portaria nº 15326, DE 27 de agosto de 2024";"8/30/2024 12:00:00 AM";"ATIVA"
"";"";"MANDOTTI AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"VENIDA VALDOMIRO FREDERICO, Nº 2594, SALA 113, EDIF. CENTRO MÉDICO E EMPRESARIAL HIGIENÓPOLIS, PARQUE RESIDENCIAL DA GÁVEA";"UMUARAMA";"PR";"87.504-830";".";"mttaviacaoagricola@gmail.com";"Portaria nº 15327, DE 27 de agosto de 2024";"8/30/2024 12:00:00 AM";"ATIVA"
"";"..";"EFAI - ESCOLA DE AVIAÇÃO CIVIL LTDA";"SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";" RUA HIBISCO N°210C, BAIRRO CAMPINA VERDE";"CONTAGEM";"MG";"32.150-210";"(31) 21227474 / (31) 21227454";"efai@efai.com.br";"DECISÃO Nº 322";"4/7/2021 12:00:00 AM";"ATIVA"
"";"";"AEROAGRICOLA ASAS DO ARAGUAIA LTDA";"AEROAGRÍCOLA";"RODOVIA 364, KM 7, S/N, ZONA RURAL";"ALTO ARAGUAIA";"MT";"78.780-000";".";"aparecida.p.aguiar@hotmail.com ";"Portaria nº 15352, DE 30 de agosto de 2024";"9/5/2024 12:00:00 AM";"ATIVA"
"";"..";"ARES A ESCOLA DE AVIAÇÃO CIVIL EIRELI";"SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"RUA DR. SERGIO D ALESSANDRO RIBEIRO, 170 LOTE 4 - AERÓDROMO VALE ELDORADO, SDVH - JARDIM SÃO LOURENÇO";"BRAGANÇA PAULISTA";"SP";"12.900-000";"(11) 982663365";"contato@aresaviacao.com.br     ";"Decisão n° 390";"8/11/2021 12:00:00 AM";"ATIVA"
"TOT";"TT";"ANIVIA LINHAS AÉREAS LTDA";"TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR";"AV. MARCOS PENTEADO DE ULHÔA RODRIGUES, 939, 2º ANDAR, SALAS 01 E 02, CONDOMÍNIO CASTELO BRANCO OFFICE PARK, ED. JACARANDÁ - ALPHAVILLE";"BARUERI";"SP";"06.460-040";".+55 11 3627-5907";"anivia@totalexpress.com.br";"Portaria 13242, de 28/11/2023";"12/4/2023 12:00:00 AM";"ATIVA"
"";"";"AERO AGRICOLA NOVA SANTA ROSA LTDA";"AEROAGRÍCOLA";"RUA PANAMÁ, POVOADO NOVA SANTA ROSA, S/N, ZONA RURAL  ";"URUÇUÍ";"PI";"64.860-000";".";"ajpulverizacao@hotmail.com";"Portaria nº 15578, DE 03 de outubro de 2024";"10/8/2024 12:00:00 AM";"ATIVA"
"";"..";"AVIAÇÃO AGRÍCOLA ALAGOANA LIMITADA";"AEROAGRÍCOLA";"  FAZENDA OLHO D' ÁGUA, S/N, MARECHAL DEODORO";"RIO LARGO";"AL";"57.160-000";"(82) 4009-2000 / (82) 99981-1913";"diretoria@manal.com.br; diretoriamanal@manal.com.br    ";"PORTARIA Nº 10.374, DE 25 DE JANEIRO DE 2023";"1/30/2023 12:00:00 AM";"ATIVA"
"";"..";"HELIPARK TÁXI AÉREO E MANUTENÇÃO AERONÁUTICA LTDA.";"AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROPUBLICIDADE, AEROREPORTAGEM";" RUA FORTUNATO GRILENZONE N° 417, PARQUE JANDÁIA";"CARAPICUÍBA";"SP";"06.300-230";"TEL (11) 4186 - 9599 FAX: (11) 4146-1234";"manutencao@helipark.net /  sterque@helipark.net";"PORTARIA Nº 9.608, DE 25 DE OUTUBRO DE 2022";"10/31/2022 12:00:00 AM";"ATIVA"
"";"..";"DUX EXPRESS TRANSPORTES AEREOS S.A";"TÁXI-AÉREO";"AVENIDA EMÍLIO ANTONON, N° 855, LOTES 39-41, AEROPORTO";"JUNDIAÍ";"SP";"13.212-010";"(11) 4230-0122";"marco.grotkowsky@duxforwarding.com ";"PORTARIA Nº 9.930, DE 2 DE DEZEMBRO DE 2022";"12/9/2022 12:00:00 AM";"ATIVA"
"TTL";"L1";"TOTAL LINHAS AÉREAS S.A.";"TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR";"RUA PADRE DEHON, N° 185, BAIRRO HAUER";"CURITIBA";"PR";"81.630-090";"(41) 3371-8200 / (31) 3343-8600";"geraldo.antonio@total.com.br   ";"PORTARIA Nº 9.934, DE 5 DE DEZEMBRO DE 2022";"12/9/2022 12:00:00 AM";"ATIVA"
"";"";"FENIX SERVICOS AEREOS ESPECIALIZADOS LTDA";"AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROPUBLICIDADE, AEROREPORTAGEM";"ANEL VIÁRIO TRECHO DE LIGAÇÃO 732 DAS RODOVIAS, BR 364 COM MG 255, S/Nº HANGAR 02, AEROPORTO MUNICIPAL DE FRUTAL";"FRUTAL";"MG";"38.207-899";".";"fenixsae@gmail.com";"Portaria nº 15025, DE 12 de julho de 2024";"7/17/2024 12:00:00 AM";"ATIVA"
"";"..";"PULVERIZA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"AV JOSE CAVENAGHI Nº 0205, PORTAL DO LAGO A";"GUAÍRA";"SP";"14.790-000";"(17) 3331-9967";"cmteguadagnin@hotmail.com";"PORTARIA Nº 8.058, DE 17 DE MAIO DE 2022";"5/20/2022 12:00:00 AM";"ATIVA"
"";"";"HANGAR VINTE LTDA";"AEROFOTOGRAFIA";"VIA DE ACESSO COMANDANTE CESAR ALBUQUERQUE ALMEIDA, Nº 1051 - ANEXO HANGAR 20, BAIRRO DA LAGOA";"AMERICANA";"SP";"13.479-302";".";"felipe@aerotecbrasil.com.br / tanabe@tecnam.com.br";"Portaria nº 15449, DE 16 de setembro de 2024";"9/18/2024 12:00:00 AM";"ATIVA"
"";"";"AEROCLUBE DE PONTA GROSSA";"AEROAGRÍCOLA";"RUA MATHIAS GRANI, S/N - AEROPORTO SANT'ANA - HANGAR 3 - BAIRRO CARA-CARÁ ";"PONTA GROSSA";"PR";"84.045-980";".";"aeroclubepg@uol.com.br";"Portaria nº 15574, DE 03 de outubro de 2024";"10/8/2024 12:00:00 AM";"ATIVA"
"";"";"AERO AGRO SAO JOAO LTDA";"AEROAGRÍCOLA";"ROD. BR 222, S/N, KM 73, ZONA RURAL";"AÇAILÂNDIA";"MA";"65.930-000";".";"aero@agrosaojoao.com";"PORTARIA Nº 15.635, DE 10 DE OUTUBRO DE 2024";"10/15/2024 12:00:00 AM";"ATIVA"
"";"";"PARCEIRO AEROAGRICOLA LTDA";"AEROAGRÍCOLA";"RUA DAS CAMELIAS, Nº 253, JARDIM MARINGÁ, SALA A -";"SINOP";"MT";"78.556-234";".";"parceiroaeroagro@gmail.com";"PORTARIA Nº 15.637, DE 10 DE OUTUBRO DE 2024";"10/15/2024 12:00:00 AM";"ATIVA"
"";"";"BIO ATUMUS AEROAGRÍCOLA LTDA (EX - JATO AVIAÇÃO)";"AEROAGRÍCOLA";"RUA BERNARDINO MACIEL, Nº 530, QAUDRA 05, LOTE 03, SALA 03, INTERLAGOS";"PARAÍSO DO TOCANTINS";"TO";"77.600-000";".";"walterson@grupobiomarcas.com.br";"Portaria nº 15780, DE 04 de novembro de 2024";"11/8/2024 12:00:00 AM";"ATIVA"
"";"";"HELIMOTORS TÁXI AÉREO LTDA";"TÁXI-AÉREO";"RUA TATUÍ, Nº40, SALA 02, PARQUE RESIDENCIAL COMENDADOR JOÃO AMENDOLA";"CATANDUVA";"SP";"15.801-130";".";"pauloerick@yahoo.com.br";"PORTARIA Nº 15.641, DE 10 DE OUTUBRO DE 2024";"10/15/2024 12:00:00 AM";"ATIVA"
"";"";"AEROCLUBE DE VERANÓPOLIS";"VOOS PANORÂMICOS";"ALAMEDA SANTOS DUMONT, S/N, CENTRO";"VERANÓPOLIS";"RS";"95.330-000";"54 999917405";"veranopolisaeroclube@gmail.com";"PORTARIA Nº 15.674, DE 15 DE OUTUBRO DE 2024";"10/17/2024 12:00:00 AM";"ATIVA"
"";"";"JJ VOAR AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"ÁREA ESTRADA DO BARREIRO, S/Nº, ÁREA RURAL, GLEBA BARREIRO ";"SORRISO";"MT";"78.898-899";".";"lourivaljunior2183@gmail.com";"PORTARIA Nº 15.670, DE 14 DE OUTUBRO DE 2024";"10/17/2024 12:00:00 AM";"ATIVA"
"";"";"GSECCO AERO AGRICOLA LTDA";"AEROAGRÍCOLA";"ROD. BR 158, KM 383, MARGEM ESQUERDA, ZONA RURAL ";"RIBEIRÃO CASCALHEIRA";"MT";"78.675-000";".";"patrick@gruposecco.com.br";"Portaria nº 15791, DE 06 de novembro de 2024";"11/13/2024 12:00:00 AM";"ATIVA"
"";"";"TRABUCO AEROAGRICOLA LTDA";"AEROAGRÍCOLA";"AV. DAS ORQUIDEAS, Nº 1390, QUADRA 075 B, LOTE 01, DISTRITO DE BOA ESPERANÇA, CENTRO ";"SORRISO";"MT";"78.899-200";".";"trabucoaeroagricola@hotmail.com";"Portaria nº 15792, DE 06 de novembro de 2024";"11/13/2024 12:00:00 AM";"ATIVA"
"";"";"JVC AEROTÁXI LTDA.";"TÁXI-AÉREO";"RUA TEERÃ, 18 QD. 14 CONJ. CAMPOS ELÍSEOS - PLANALTO";"MANAUS";"AM";"69.045-100";"TEL: (92) 3651-3500  /  FAX: (92) 3651-7510";"jvcaero@jvcaerotaxi.com.br";"PORTARIA Nº 15.793, DE 6 DE NOVEMBRO DE 2024";"11/25/2024 12:00:00 AM";"ATIVA"
"";"";"RMJ SERVIÇOS DE AVIAÇÃO LTDA";"AEROAGRÍCOLA";"RUA TRAJANO BALDUINO, HANGAR 5E, GALPÃO AEROPORTO, CENTRO ";"FORMOSA";"GO";"73.801-430";".";"robertomarconjr@gmail.com";"PORTARIA Nº 7.333, DE 21 DE FEVEREIRO DE 2022";"2/21/2022 12:00:00 AM";"ATIVA"
"LVU";"";"LEVU TRANSPORTE AEREO E LOGISTICA DE CARGAS S/A";"TRANSPORTE AÉREO REGULAR";"RODOVIA SANTOS DUMONT, KM 66, S/N, PARQUE VIRACOPOS ";"CAMPINAS";"SP";"13.052-901";".";"nfe@levulogistics.com";"Portaria nº 15806, DE 07 de novembro de 2024";"11/8/2024 12:00:00 AM";"ATIVA"
"";"";"KONAGESKI SERVICOS AGROPECUARIOS AEROAGRICOLA LTDA";"AEROAGRÍCOLA";"RODOVIA SENADOR ROBERTOCAMPOS, 1856, QUADRA 04 LOTE 11A, BAIRRO NOVO DIAMANTINO";"DIAMANTINO";"MT";"78.400-000";".";"aeroagricola@fazendaslrkonageski.com.br";"Portaria nº 15903, DE 02 de dezembro de 2024";"12/5/2024 12:00:00 AM";"ATIVA"
"";"";"J G ALVES (AERO OESTE PULVERIZACAO)";"AEROAGRÍCOLA";"RUA MINAS GERAIS, 522, CENTRO";"LUÍS EDUARDO MAGALHÃES";"BA";"47.850-055";".";"goncalvesalvesjoel@gmail.com";"PORTARIA Nº 15.936, DE 5 DE DEZEMBRO DE 2024";"12/10/2024 12:00:00 AM";"ATIVA"
"";"";"AVIAÇÃO AGRÍCOLA SANTA BÁRBARA LTDA";"AEROAGRÍCOLA";"ESTRADA LINHA ESQUINA DOIS IRMÃOS, S/Nº - BAIRRO INTERIOR";"SANTA BÁRBARA DO SUL";"RS";"98.240-000";".";"aviacaoagricolasabasul.rs@gmail.com";"Portaria nº 16625, DE 19 de março de 2025";"3/21/2025 12:00:00 AM";"ATIVA"
"";"";"UELTON JESER BRABO ZAFALAO LTDA";"AEROAGRÍCOLA";"ESTRADA LAGUNA CARAPA A PONTA PORA, NÚMERO S/N, BAIRRO ZONA RURAL";"LAGUNA";"MT";"79.920-000";".";"ueltonzafalon@hotmail.com";"Portaria nº 16058, DE 20 de dezembro de 2024";"12/26/2024 12:00:00 AM";"ATIVA"
"";"";"CONFIAGRO ARMAZENS GERAIS E PULVERIZACAO AGRICOLA LTDA";"AEROAGRÍCOLA";"ESTRADA VICINAL IPÊS, NÚMERO S/Nº, KM. 0,5, LOTE Nº 247-AA, GLEBA RIO FERRO, BAIRRO ZONA RURAL";"FELIZ NATAL";"MT";"78.885-000";".";"fazendasdebastiani@hotmail.com";"Portaria nº 16069, DE 23 de dezembro de 2024";"1/2/2025 12:00:00 AM";"ATIVA"
"";"";"EDUARDO CHIANCA DE BRITO FREITAS (FANTASIA - DYX PANORAMICOS)";"VOOS PANORÂMICOS";"RUA PAR[A, Nº 251, CX. POSTAL 032, ESTADOS ";"JOÃO PESSOA";"PB";"58.030-200";".";"dyxpanoramicos@gmail.com";"Portaria nº 16154, DE 06 de janeiro de 2025";"1/13/2025 12:00:00 AM";"ATIVA"
"";"";"AERO AGRÍCOLA ZOLET LTDA";"AEROAGRÍCOLA";"RUA QUATORZE, Nº 231 BAIRRO: SANTO ANTÔNIO";"PARANATINGA";"MT";"78.870-000";"(46) 99901-0344";"lucaszolet@hotmail.com";"Portaria nº 17766";"8/28/2025 12:00:00 AM";"ATIVA"
"";"..";"APLIMAX AEROAGRÍCOLA - EIRELI";"AEROAGRÍCOLA, COMBATE A INCÊNDIOS";"AVENIDA 45, Nº 338, CENTRO";"BARRETOS";"SP";"14.780-430";".(17) 30436187 / (66) 999646299";"aplimax@hotmail.com";"PORTARIA Nº 10.786, DE 21 DE MARÇO DE 2023";"3/24/2023 12:00:00 AM";"ATIVA"
"";"";"AERO AGRICOLA PRIMAVERA LTDA";"AEROAGRÍCOLA";"GLEBA GUAPORÉ, S/N, SETOR SANTA ROSA, KM 18, LOTE 13, BAIRRO ZONA RURAL";"PIMENTEIRAS DO OESTE";"RO";"76.999-000";".";"selmo_nog@hotmail.com";"PORTARIA Nº 16.218/SPO, DE 21 DE JANEIRO DE 2025";"1/28/2025 12:00:00 AM";"ATIVA"
"";"";"ELETRIC POWER CONSTRUÇÃO LTDA";"TÁXI-AÉREO";"AVENIDA DAS AMÉRICAS, Nº 8.585 - SALA 381 - BARRA DA TIJUCA";"RIO DE JANEIRO";"RJ";"22.793-081";".";"cmtenazareth@gmail.com";"PORTARIA Nº 16.506/SPO, DE 5 DE MARÇO DE 2025";"3/7/2025 12:00:00 AM";"ATIVA"
"";"";"CAMPO BOM AEROAGRÍCOLA LTDA";"AEROAGRÍCOLA";"ESTRADA SGO 217 KM 2,5, S/N, BAIRRO ZONA RURAL";"SÃO GABRIEL DO OESTE";"MS";"79.490-000";".";".";"Portaria nº 16670, DE 26 de março de 2025";"4/1/2025 12:00:00 AM";"ATIVA"
"";"";"AVIACAO AGRICOLA ICARO LTDA";"AEROAGRÍCOLA";"RUA BORGES DE MEDEIROS, Nº 1943, AEROPORTO MUNICIPAL AGOSTINHO SCARTAZINI - HANGAR ÍCARO - NILVEL TÉRREO, BAIRRO AEROPORTO";"PALMEIRA DAS MISSÕES";"RS";"98.300-000";".";".";"Portaria nº 16674, DE 26 de março de 2025";"4/1/2025 12:00:00 AM";"ATIVA"
"";"..";"AERO AGRÍCOLA SÃO MIGUEL LTDA.";"AEROAGRÍCOLA";"RUA LAGUNA, Nº 186, SALA 02, BAIRRO OFICINAS";"TUBARÃO";"SC";"88.702-210";"(48) 9976-1606 / (48) 996600095";"aerosaomiguel@gmail.com";"PORTARIA Nº 10.307, DE 18 DE JANEIRO DE 2023";"1/26/2023 12:00:00 AM";"ATIVA"
"";"..";"HEISS TÁXI AÉREO LTDA.";"TÁXI-AÉREO";"AV. SENADOR LEMOS 4700 - AEROPORTO JULIO CESAR - SALA 07 -BAIRRO SACRAMENTA";"BELÉM";"PA";"66.110-000";"(91) 3244-0715";"heisstaxiaereo@hotmail.com";"PORTARIA Nº 10.161, DE 29 DE DEZEMBRO DE 2022";"1/2/2023 12:00:00 AM";"ATIVA"
"";"..";"VIMAER AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA GOMES CARNEIRO, 987, BAIRRO BETTIM.";"SÃO BORJA";"RS";"97.670-000";" (55) 99977 6677 ";"vimaeraviacao@hotmail.com    ";"PORTARIA Nº 11.331, DE 16 DE MAIO DE 2023";"5/19/2023 12:00:00 AM";"ATIVA"
"";"..";"VIAGRO VIDOTTI AGRO AÉREA LTDA.";"AEROAGRÍCOLA";"RODOVIA CARLOS JOÃO STRASS, KM 11, AEROPORTO 14 BIS - BOX 01 - DISTRITO DA WARTA";"LONDRINA";"PR";"86.105-000";"(43) 3398-4343 / (43) 9-9991-9671";"viagro@sercomtel.com.br ";"PORTARIA Nº 9.861, DE 24 DE NOVEMBRO DE 2022";"11/29/2022 12:00:00 AM";"ATIVA"
"";"..";"FRISONFLY HELICÓPTEROS SAE E TÁXI AÉREO LTDA.";"AEROFOTOGRAFIA, AEROPUBLICIDADE, AEROREPORTAGEM, TÁXI-AÉREO";"BR 290, KM 122, ESTRADA SANTA MARIA, S/N, ZONA RURAL";"ELDORADO DO SUL";"RS";"90.670-120";"(51) 9968-0196";"diretoria@frisonfly.com.br  ";"PORTARIA Nº 9.850, DE 23 DE NOVEMBRO DE 2022";"11/25/2022 12:00:00 AM";"ATIVA"
"";"..";"FLY AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA DAS JABUTICABAS, N: SN, COMPLEMENTO: QD. 36, LOTE 10 - BAIRRO: CENTRO";"IPIRANGA DO NORTE";"MT";"78.578-000";"(65) 3549-3441 / (65) 3549-3674";"contato@eurodobrasil.com.br";"PORTARIA Nº 7.807";"4/18/2022 12:00:00 AM";"ATIVA"
"";"..";"ANTIQUEIRA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA TAPAJÓS, Nº 102, BAIRRO CASCATA";"GARÇA";"SP";"17.400-000";"(14) 3406-1248";"antiqueirakaue@gmail.com";"PORTARIA Nº 10.198, DE 5 DE JANEIRO DE 2023";"1/12/2023 12:00:00 AM";"ATIVA"
"";"";"AGROSKY SERVIÇOS AÉREOS ESPECIALIZADOS LTDA";"AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROPUBLICIDADE, AEROREPORTAGEM";"RUA PROFESSOR FRANCISCO DE ASSIS MADEIRA, Nº 204, CENTRO";"TIETÊ";"SP";"18.530-000";".";"edimilsonguedes@alphaconsultoria.com";"PORTARIA Nº 15.643, DE 10 DE OUTUBRO DE 2024";"10/15/2024 12:00:00 AM";"ATIVA"
"";"..";"AERONOP ESCOLA MANUTENÇÃO E SAE LTDA";"AEROAGRÍCOLA, AEROPUBLICIDADE";" ESTRADA LUCILA, S/N, LOTE 150/A-5 - AEROPORTO SJAK - CAIXA POSTAL 213";"SINOP";"MT";"78.559-899";"(66) 99683 7475";"diretoria@aeronop.com.br ";"PORTARIA Nº 9.585, DE 21 DE OUTUBRO DE 2022";"10/26/2022 12:00:00 AM";"ATIVA"
"";"";"NOBRE TURISMO AEREO LTDA";"VOOS PANORÂMICOS";"AV. AYRTON SENNA, 2541, RUA D2, HANGAR 17 - AEROPORTO DE JACAREPAGUÁ - BARRA DA TIJUCA ";"RIO DE JANEIRO";"RJ";"22.775-002";".";"diretoria@comandantenobre.com.br";"Portaria nº 15876, DE 26 de novembro de 2024";"12/2/2024 12:00:00 AM";"ATIVA"
"";"";"BOA ESPERANÇA AVIAÇÃO AGRICOLA LTDA";"AEROAGRÍCOLA";"RODOVIA MT 140, S/N, KM 350, BAIRRO ÁREA RURAL";"NOVA UBIRATÃ";"MT";"78.888-000";".";"fazendalaura2013@gmail.com";"Portaria nº 16195, DE 14 de janeiro de 2025";"1/21/2025 12:00:00 AM";"ATIVA"
"";"..";"SOCANA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA JOÃO TOTTI, Nº 689 - VILLAGE TROPICAL";"PONTAL";"SP";"14.180-000";"(16) 99998-7879";"mauricio.socana@hotmail.com; socanaaviacaoagricola@hotmail.com";"Portaria nº 8.578, de 13.07.2022";"7/25/2022 12:00:00 AM";"ATIVA"
"BPC";"BP";"BRASPRESS AIR CARGO TRANSPORTES AÉREOS LTDA";"SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS, TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR";"RODOVIA PRESIDENTE DUTRA, S/N°, KM 217,8, PRÉDIO A, 3° ANDAR, BAIRRO CUMBICA";"GUARULHOS";"SP";"07.180-903";"(11) 2223-3500";"sac@braspress.com";"Portaria nº 16844";"4/22/2025 12:00:00 AM";"ATIVA"
"";"";"BRUTUS AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"AVENIDA BOM JESUS, 1345 - CENTRO";"PONTES E LACERDA";"MT";"78.250-000";"(67) 99983-2767";"joelson.contatech@gmail.com";"Portaria nº 16895";"4/29/2025 12:00:00 AM";"ATIVA"
"";"";"SP AVIAÇÃO TÁXI AÉREO LTDA";"TÁXI-AÉREO";"RUA GOMES DE CARVALHO, 1108, 8º ANDAR, CONJUNTO 83, SALA 2, VILA OLIMPIA";"SÃO PAULO";"SP";"04.547-004";"(11) 96758-4423";"financeiro@bravotaxiaereo.com ";"Portaria nº 16904";"4/30/2025 12:00:00 AM";"ATIVA"
"";"..";"FERREIRA AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"R MANOEL CIRIACO DA SILVA (25), Nº1005 S, CASA";"TANGARÁ DA SERRA";"MT";"78.300-000";"(65) 999872397 ";"ferreira.aviacao@gmail.com";"PORTARIA Nº 7.295, DE 16 DE FEVEREIRO DE 2022";"2/16/2022 12:00:00 AM";"ATIVA"
"";"";"RESENDE MARTINS AEROAGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA PEDRO ÁLVARES CABRAL, 120 - PRADO";"PARACATU";"MG";"38.602-008";"(38) 99988-7542";"resendemartinsaeroagricola@gmail.com";"Portaria n° 17261/SPO";"6/23/2025 12:00:00 AM";"ATIVA"
"";"";"HANGAR 1 PACOTES TURÍSTICOS LTDA";"VOOS PANORÂMICOS";"RUA MÁRIO, 140 - VILA ROMANA";"SÃO PAULO";"SP";"05.048-010";"N/I";"gmn@voehighclass.com.br";"Portaria nº 17240";"6/18/2025 12:00:00 AM";"ATIVA"
"";"";"AEROAGRICOLA PAULISTA LTDA";"AEROAGRÍCOLA";"RUA CURITIBA, 1550 - NOVA BRASÍLIA";"JI-PARANÁ";"RO";"76.908-492";"(69) 99912-8888";"aeroagricolapaulista@hotmail.com";"Portaria nº 17259";"6/23/2025 12:00:00 AM";"ATIVA"
"";"";"NOAH AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA HUMBERTO DE CAMPOS, 440 ANDAR 1 - CENTRO";"GUANAMBI";"BA";"46.430-000";" 	(77) 99992-4451";"noahaviacaoagricola@hotmail.com";"Portaria nº 17289";"6/24/2025 12:00:00 AM";"ATIVA"
"";"";"SAEP - SERVIÇO AEROAGRÍCOLA ESPECIALIZADO PEDERNEIRAS LTDA";"AEROAGRÍCOLA";"RODOVIA COMANDANTE JOÃO RIBEIRO DE BARROS, KM 204 HANGAR III - AEROPORTO MUNICIPAL DE PEDERNEIRAS";"PEDERNEIRAS";"SP";"17.289-899";"(14) 99609-9269";"saep_aeroagricola@outlook.com";"Portaria nº 17361";"7/2/2025 12:00:00 AM";"ATIVA"
"";"..";"SÃO BENTO AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";" AEROPORTO MUNICIPAL AGOSTINHO SCARTAZZINI, RUA BORGES DE MEDEIROS, S/Nº, BAIRRO AEROPORTO";"PALMEIRA DAS MISSÕES";"RS";"98.300-000";" (55) 3742-1710 / (55) 8116-6444";"cassianocora@gmail.com";"PORTARIA Nº 7.891";"4/28/2022 12:00:00 AM";"ATIVA"
"";"";"OVERFLY AEROLEVANTAMENTOS LTDA";"AEROLEVANTAMENTO";"RUA VEREADOR ALAOR ALVES DE MELO, 03 - SALA 203 - CENTRO";"ARAGUARI";"MG";"38.440-096";"(34)99141-9976";"";"Portaria nº 17437";"7/15/2025 12:00:00 AM";"ATIVA"
"";"";"AERO CLUBE DO PARANÁ";"VOOS PANORÂMICOS";"   RUA CICERO JAIME BLEY, S/N º - AEROPORTO DE BACACHERI - HANGAR 20";"CURITIBA";"PR";"82.515-180";"(41) 3256-3003";"acp@aeroclubeparana.com.br     ";"Portaria nº 17634";"8/8/2025 12:00:00 AM";"ATIVA"
"AEB";"Z3";"AVION EXPRESS BRASIL LTDA";"TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR";"RODOVIA ENGENHEIRO ERMÊNIO DE OLIVEIRA PENTEADO, S/N, SALAS 403, 404 E 501, KM 56,5, MARGINAL NORTE, TAMABADOURO, TORRE COMERCIAL GREEN HOUSE ";"INDAIATUBA";"SP";"13.340-600";".";".";"PORTARIA Nº 16.474/SPO, DE 27 DE FEVEREIRO DE 2025";"2/28/2025 12:00:00 AM";"ATIVA"
"";"";"FLY ME UP SERVIÇOS AÉREOS LTDA";"VOOS PANORÂMICOS";"RUA CORONEL FERREIRA, S/N° - ANTIGA AVENIDA PROJETADA - PORTINHO";"CABO FRIO";"RJ";"28.915-370";"(22) 99891-6049";"aredesbruno@gmail.com";"Portaria nº 17911";"9/19/2025 12:00:00 AM";"ATIVA"
"";"";"ONGHERO AVIAÇÃO LTDA";"AEROAGRÍCOLA";"RODOVIA BR 163 KM 595 + 45 KM A DIREITA, SN, FAZENDA SANTA ELVIRA";"NOVA MUTUM";"MT";"78.457-899";"(65) 99971-9989 / (65) 99971-9989";"fazsantaelviramt@hotmail.com";"Portaria nº 17941";"9/24/2025 12:00:00 AM";"ATIVA"
"";"";"AEROCLUBE DE BENTO GONÇALVES";"VOOS PANORÂMICOS";"RUA ROBERTO VARGAS, N° 120 - BAIRRO SÃO VENDELINO";"BENTO GONÇALVES";"RS";"95.700-010";"(54) 99247-2188";"aerobg@aerobg.com.br";"Portaria nº 17962";"9/29/2025 12:00:00 AM";"ATIVA"
"";"";"CFLY AVIATION EMPREENDIMENTOS CONSULTORIA E PARTICIPAÇÕES S.A.";"TÁXI-AÉREO";"RUA CANCIONEIRO DE EVORA Nº 703, SALA 5, SANTO AMARO";"SÃO PAULO";"SP";"04.708-010";"(11) 99233-4608";"adalberto@cflyaviation.com; gropelo@clyaviation.com";"Portaria nº 17282";"6/24/2025 12:00:00 AM";"ATIVA"
