Atualizado em: 2026-09-14
"ICAO";"Estrangeira";"Razao";"Servico";"Endereco";"Cidade";"UF";"CEP";"Telefone";"Email";"Instrumento";"Data";"Ativa"
"TFL";"OR";"TUI AIRLINES NEDERLAND BV";"ESTRANGEIRA NÃO REGULAR";"RUA CEL. LUIZ VICTORINO ORDINE, 1035, AP. 501, SÃO PEDRO";"SÃO JOSÉ DOS PINHAIS";"PR";"83.005-040";"(41) 99246-9124";"occ@flightsupportbrazil.com​";"Ofício nº 239/2025/GEAM Empresas/GEAM/SAS-ANAC (SEI 12509505)";"12/22/2025 12:00:00 AM";"ATIVA"
"CSB";"2P";"21 AIR, LLC";"ESTRANGEIRA NÃO REGULAR";"AV. FRANCISCO GLICÉRIO , 2331 – TÉRREO -  SALA 02 – JARDIM GUANABARA";"CAMPINAS";"SP";"13.023-101";"(19) 99596-9494";"permit.brazil@gmail.com;morellivanderlei@gmail.com";"Ofício nº 201/2025/GEAM Empresas/GEAM/SAS-ANAC (SEI 12286551)";"11/3/2025 12:00:00 AM";"ATIVA"
"QCL";"VZ";"AIR EXPRESS S.A. (AIR CLASS LINEAS AEREAS) / EX-AERO V.I.P. LTDA";"ESTRANGEIRA NÃO REGULAR";"AVENIDA ERASMO BRAGA, 227 - GRUPO 905/908 - CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"21 2524-2446/98148-6698";"ops@aeromartel.com.br";"Ofício nº 104/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13353126)";"5/25/2026 12:00:00 AM";"ATIVA"
"PVG";"P6";"PRIVILEGE STYLE S.A.";"ESTRANGEIRA NÃO REGULAR";"AVENIDA ERASMO BRAGA, 227 - GRUPO 905/908 - CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"21 2524-2446/98148-6698";"ops@aeromartel.com.br";"Ofício nº 7/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 12605745)";"1/16/2026 12:00:00 AM";"ATIVA"
"RIV";"GP";"APG AIRLINES (A.P.G AIRLINES)";"ESTRANGEIRA OFFLINE";"66 AVENEU CHAMPS ÉLYSÉES 75008, PARIS, FRANCE";"BRASÍLIA";"DF";"72.000-000";"+33153771302";"contact@apg-airlines.com";"";"null";"ATIVA"
"WAL";"WL";"WORLD ATLANTIC AIRLINES";"ESTRANGEIRA NÃO REGULAR";"SETOR DE MANSÕES IAPI CHÁCARAS 22D CASA 2, GUARA II";"BRASÍLIA";"DF";"00.000-000";"000";"davidjncharles28@gmail.com";"Ofício nº 119/2026/GEAM Empresas/GEAM/SAS-ANAC";"6/11/2026 12:00:00 AM";"ATIVA"
"ABD";"CC";"AIR ATLANTA ICELANDIC";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 - GRUPO 905/908 - CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"21-2524-2446/(21)98148-6698";"ops@aeromartel.com.br";"Ofício nº 241/2025/GEAM Empresas/GEAM/SAS-ANAC";"12/23/2025 12:00:00 AM";"ATIVA"
"VTU";"T9";"TURPIAL AIRLINES C.A";"ESTRANGEIRA NÃO REGULAR";"RUA DAS ORQUÍDEAS, 737 - TORRE BUSINESS, SALA 413";"INDAIATUBA";"SP";"00.000-000";"41 992469124";"occ@flightsupportbrazil.com";"Ofício nº 17/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 12793594)";"2/3/2026 12:00:00 AM";"ATIVA"
"KAL";"KE";"KOREAN AIR LINES CO. LTD.";"ESTRANGEIRA REGULAR";"ALAMEDA CAMPINAS Nº 579 ,13º ANDAR , CONJ. 132- - JARDIM PAULISTA";"SÃO PAULO";"SP";"01.404-100";"(11) 36610681";" luisa@diciero.adv.br";"";"null";"ATIVA"
"AZG";"7L";"SILK WAY WEST AIRLINES";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 – GRUPO 905/908 – CENTRO ";"RIO DE JANEIRO";"RJ";"20.020-902";"(21) 2524-2446 / 98148-6698";"ops@aeromartel.com.br";"Ofício nº 121/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13481769)";"6/15/2026 12:00:00 AM";"ATIVA"
"SRU";"2I";"STAR UP S.A - STAR PERU";"ESTRANGEIRA NÃO REGULAR";"RUA ANTÔNIO EVERDOSA, 1078";"BELÉM";"PA";"00.000-000";"51 98900-6913";"agnus.veras@gmail.com";"Ofício nº 34/2026/GEAM Empresas/GEAM/SAS-ANAC";"2/26/2026 12:00:00 AM";"ATIVA"
"MPH";"MP";"MARTINAIR HOLLAND N.V.";"ESTRANGEIRA NÃO REGULAR";"RUA DO MERCADO, 11 - 10º ANDAR, CENTRO";"RIO DE JANEIRO";"RJ";"20.010-120";"21 2220-0488";"luisa@diciero.adv.br";"Ofício nº 231/2025/GEAM Empresas/GEAM/SAS-ANAC";"12/18/2025 12:00:00 AM";"ATIVA"
"IBE";"IB";"IBÉRIA LINEAS AEREAS DE ESPAÑA SOCIEDAD ANONIMA OPERADORA";"ESTRANGEIRA REGULAR";"AVENIDA PAULISTA, Nº 2202, 16º ANDAR, CONJUNTO 106/166";"SÃO PAULO";"SP";"01.310-932";"(11) 3956-5999";"iberia@ftorres.com.br";"";"null";"ATIVA"
"SIA";"SQ";"SINGAPORE AIRLINES LIMITED";"ESTRANGEIRA REGULAR";"RUA DOUTOR RAFAEL DE BARROS, 210, CONJUNTO 41, 4° ANDAR.";"PARAÍSO";"SP";"04.003-041";"(11) 3179-0886 / (11) 3179-0888";" mkono@uol.com.br";"";"null";"ATIVA"
"AZN";"Z8";"COMPAÑIA DE SERVICIOS DE TRANSPORTE AEREO AMASZONAS S/A.";"ESTRANGEIRA REGULAR";"AV. DUQUE DE CAXIAS, 4355, SERRADINHO";"ÁGUA CLARA";"MS";"00.000-000";"(67) 3368-6095 / (67) 99289-2680";"cricci@amaszonas.com";"";"null";"ATIVA"
"RDA";"RA";"RADA AIRLINES";"ESTRANGEIRA NÃO REGULAR";"RUA GARIBALDI 256 - TIJUCA";"RIO DE JANEIRO";"RJ";"20.511-330";"(21) 2570-9725 / (21)99336-8614";"d.pontes@dmxflights.com.br";"Ofício nº 244/2025/GEAM Empresas/GEAM/SAS-ANAC (SEI 12535821)";"12/29/2025 12:00:00 AM";"ATIVA"
"LCO";"UC";"LAN CARGO S.A.";"ESTRANGEIRA REGULAR";"RUA ÁTICA Nº 673, 5º ANDAR";"SÃO PAULO";"SP";"04.634-042";"(11) 5582-8094 (11) 5035-7487";"tatiane.viana@latam.com; gar@tam.com.br";"";"null";"ATIVA"
"ANS";"O4";"ANDES LINEAS AEREAS";"ESTRANGEIRA NÃO REGULAR";"RUA TENENTE SILVEIRA, Nº 199, SALAS 704/705";"FLORIANÓPOLIS";"SC";"88.010-300";"(48)8834-5654 /(48)9982-1000 / (48)3223-4834 ";"ccur@globo.com";"Ofício nº 193/2025/GEAM Empresas/GEAM/SAS-ANAC";"10/17/2025 12:00:00 AM";"ATIVA"
"AZP";"ZP";"COMPAÑIA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY)";"ESTRANGEIRA REGULAR";"AVENIDA PAULISTA, 726, CJ. 1207, 12º ANDAR ";"SÃO PAULO";"SP";"01.310-000";" (11) 3214-1198 / 3214-1197";"juridico.br@paranair.com";"";"null";"ATIVA"
"ACL";"JK";"AEROLÍNEA DEL CARIBE  S.A. - AERCARIBE";"ESTRANGEIRA NÃO REGULAR";"AVENIDA ERASMO BRAGA, 227 - GRUPO 905/908, CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"(21) 25242446 / 981486698";"ops@aeromartel.com.br";"Ofício nº 149/2026/GEAM Empresas/GEAM/SSA-ANAC";"8/14/2026 12:00:00 AM";"ATIVA"
"FBZ";"FO";"FB LÍNEAS AÉREAS S.A (FLYBONDI)";"ESTRANGEIRA REGULAR";"AV. NOVE DE JULHO, 3228, SALA 604, JARDINS";"SÃO PAULO";"SP";"01.406-000";"(11) 2720-0930 / (11) 98415-8002 / (11) 98596-1701";"trr@mandat.com.br; raimondi.thiago@gmail.com";"";"null";"ATIVA"
"ARG";"AR";"AEROLINEAS ARGENTINAS S/A";"ESTRANGEIRA REGULAR";"ALAMEDA SANTOS, 2441, 8º ANDAR, CERQUEIRA CÉSAR";"SÃO PAULO";"SP";"01.419-101";"(11) 2175-4200 0800-761-0254";"caroline.avelar@aerolineas.com.ar;Merithy.fraga@aerolineas.com.ar";"";"null";"ATIVA"
"PUE";"PU";"PLUS ULTRA LÍNEAS AÉREAS S/A";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 - GRUPO 905/908 - CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"(21) 25242446 / 981486698";"ops@aeromartel.com.br";"Ofício nº 98/2026/GEAM Empresas/GEAM/SAS-ANAC";"5/19/2026 12:00:00 AM";"ATIVA"
"SKX";"H8";"SKY AIRLINE PERU S.A.C.";"ESTRANGEIRA REGULAR";"RUA ELISIÁRIO PIRES DE CAMARGO, 141, JD. CHAPADÃO";"CAMPINAS";"SP";"00.000-000";"(19) 32018208";"luciano@ghelardi.com.br";"";"9/28/2020 12:00:00 AM";"ATIVA"
"ETD";"EY";"ETIHAD AIRWAYS P.J.S.C.";"ESTRANGEIRA REGULAR";"AV. RIO BRANCO, Nº 57 SALAS 2001 E 2002 CENTRO";"RIO DE JANEIRO";"RJ";"20.090-901";"(21) 2518-1440";"caroline_mathey@crrepresentacao.com";"";"null";"ATIVA"
"AZQ";"Z9";"SILK WAY AIRLINES";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 – GRUPO 905/908 – CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"(21) 25242446 / 981486698";"ops@aeromartel.com.br";"Ofício nº 129/2025/GEAM Empresas/GEAM/SAS-ANAC (SEI 13471905)";"6/11/2026 12:00:00 AM";"ATIVA"
"THY";"TK";"TURKISH AIRLINES INC";"ESTRANGEIRA REGULAR";"ALAMEDA SANTOS, 1.978, 6º ANDAR, CONJ. 62, CONDOMÍNIO PJM 109, BAIRRO CERQUEIRA CÉSAR";"SÃO PAULO";"SP";"01.418-102";"11-4083-7600 e 11 3145-6000";"thiagocarvalho@asbz.com.br renanmelo@asbz.com.br";"";"null";"ATIVA"
"SKU";"H2";"SKY AIRLINE S.A.";"ESTRANGEIRA REGULAR";"RUA ELISIÁRIO PIRES DE CAMARGO, 141, JARDIM CHAPADÃO";"CAMPINAS";"SP";"13.070-099";"(19) 99850-9594 / (19) 3714-1133";"luciano@ghelardi.com.br";"";"null";"ATIVA"
"NRS";"DI";"NORWEGIAN AIR UK LIMITED";"ESTRANGEIRA REGULAR";"RUA DA ASSEMBLÉIA Nº 100, SALA 2901";"RIO DE JANEIRO";"RJ";"20.011-000";"000";"crislocateli@pryorglobal.com";"";"null";"ATIVA"
"WGN";"KD";"WESTERN GLOBAL AIRLINES";"ESTRANGEIRA NÃO REGULAR";"RUA PRESIDENTE JOÃO GOULART, 529, JARDIM CHAPADÃO";"CAMPINAS";"SP";"13.070-060";"(19) 2515-1152 / (19) 99596-9494/(19) 99136-9264";"morellivanderlei@gmail.com/ vmorelli@platinumglobal.com.br";"Ofício nº 205/2025/GEAM Empresas/GEAM/SAS-ANAC";"11/6/2025 12:00:00 AM";"ATIVA"
"CLX";"CV";"CARGOLUX AIRLINES INTERNATIONAL S/A";"ESTRANGEIRA REGULAR";"AV. PAULISTA Nº 352, 7º ANDAR, CONJ. 77, BELA VISTA";"SÃO PAULO";"SP";"01.310-905";"(11) 4166-5635 (21) 2242-1077";"jgaa@aaalaw.com.br";"";"null";"ATIVA"
"ELY";"LY";"EL AL ISRAEL AIRLINES LTD";"ESTRANGEIRA REGULAR";"RUA AFONSO BRAZ, 373,PRÉDIO 4, CV Nº 0025 - VILA NOVA CONCEIÇÃO";"SÃO PAULO";"SP";"04.511-011";"(11) 4508-0515 (11) 3145-6000";"priscilag@elal.com.br; guilhermeamaral@asbz.com.br";"";"null";"ATIVA"
"LAE";"L7";"LÍNEA AÉREA CARGUEIRA DE COLOMBIA S.A - LANCO";"ESTRANGEIRA REGULAR";"RODOVIA SANTOS DUMONT S/N, KM 66 SVP L.E.SALA 1A";"CAMPINAS";"SP";"13.052-970";"(19) 2138-4403";"gar@latam.com";"";"null";"ATIVA"
"ETH";"ET";"ETHIOPIAN AIRLINES GROUP";"ESTRANGEIRA REGULAR";"RUA DOUTOR RAFAEL DE BARROS, 210 - 4° ANDAR, PARAÍSO";"SÃO PAULO";"SP";"04.003-041";"(11) 3661-0681 / (11) 3661-6591";"rmaluf@maluferodrigues.adv.br";"";"null";"ATIVA"
"ROI";"9V";"AVIOR AIRLINES BRASIL C.A.";"ESTRANGEIRA REGULAR";"RUA TURQUESA 41, BAIRRO PARQUE SÃO QUIRINO";"CAMPINAS";"SP";"13.088-518";"(51) 3036-6113 ";"lauroviannajunior@gmail.com";"";"null";"ATIVA"
"SLM";"PY";"SURINAM AIRWAYS LTD";"ESTRANGEIRA REGULAR";"AV. JULIO CESAR S/N, SETOR L AEREAS LOJA 01 - AEROPORTO INTERNACIONAL DE BELEM";"BELÉM";"PA";"66.115-970";"(91) 99114-8200";"marinho.flyslm@gmail.com";"";"null";"ATIVA"
"ICV";"C8";"CARGOLUX ITÁLIA S.P.A.";"ESTRANGEIRA REGULAR";"AVENIDA RIO BRANCO 109, 21º ANDAR, SALA 2104";"RIO DE JANEIRO";"RJ";"20.040-004";"21 2242-1077 ";"jgaa@aaalaw.com.br";"";"null";"ATIVA"
"TPA";"QT";"TAMPA CARGO S.A.";"ESTRANGEIRA REGULAR";"ROD. STOS DUMONT, KM 66 AEROPORTO INTERNACIONAL DE VIRACOPOS – BAIRRO JARDIM ITANTINGA";"SÃO PAULO";"SP";"13.052-900";"(11) 3475-8397 / (11) 95766-1127";"camila.leao@avianca.com";"";"null";"ATIVA"
"JAL";"JL";"JAPAN AIRLINES CO. LTD.";"ESTRANGEIRA REGULAR";"ALAMEDA SANTOS, 647, CONJUNTOS 171 E 172";"SÃO PAULO";"SP";"01.419-001";"(11) 3175-2250";"quengo.kanatani@jal.com";"";"null";"ATIVA"
"EDW";"WK";"EDELWEISS AIR AG";"ESTRANGEIRA REGULAR";"RUA GOMES DE CARVALHO 1108, 6º ANDAR, VILA OLÍMPIA";"SÃO PAULO";"SP";"04.547-004";"(11) 3048-5897";"felipe.bonifatti@dlh.de";"";"null";"ATIVA"
"MAA";"M7";"AEROTRANSPORTES MAS DE CARGA S.A. DE C.V.";"ESTRANGEIRA REGULAR";"RUA ELISIÁRIO PIRES DE CAMARGO, Nº 141 JARDIM CHAPADÃO";"CAMPINAS";"SP";"13.070-099";"(19) 2138-4403";"luciano@ghelardi.com.br	";"";"7/13/2023 12:00:00 AM";"ATIVA"
"ACA";"AC";"AIR CANADA";"ESTRANGEIRA REGULAR";"ALAMEDA SANTOS, 1.978, 17º ANDAR, SALAS 171 E 172, JARDIM PAULISTA";"SÃO PAULO";"SP";"01.418-102";"(11) 3254-6600 / (11) 3041-5135";"giancarlo.takegawa@aircanada.ca";"";"null";"ATIVA"
"EVE";"E9";"EVELOP AIRLINES S.L.";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 – GRUPO 905/908 – CENTRO ";"RIO DE JANEIRO";"RJ";"20.020-902";"21-2524-2446  e 21-98148-6698";"ops@aeromartel.com.br";"Ofício nº 61/2026/GEAM Empresas/GEAM/SAS-ANAC";"4/7/2026 12:00:00 AM";"ATIVA"
"CXB";"CS";"COMLUX ARUBA NV";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 – GRUPO 905/908 – CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"(21)2524-2446/ (21)98148-6698";"ops@aeromartel.com.br";"Ofício nº 159/2026/GEAM Empresas/GEAM/SSA-ANAC";"9/3/2026 12:00:00 AM";"ATIVA"
"ADB";"0N";"ANTONOV COMPANY";"ESTRANGEIRA NÃO REGULAR";"R. CEL LUIZ VICTORINO ORDINE, 1035. AP 501, SÃO PEDRO ";"SÃO JOSÉ DOS PINHAIS";"PR";"83.005-040";"(41) 99822-0404";"occ@flightsupportbrazil.com";"Ofício nº 133/2026/GEAM Empresas/GEAM/SAS-ANAC";"7/6/2026 12:00:00 AM";"ATIVA"
"DLH";"LH";"DEUTSCHE LUFTHANSA A.G.";"ESTRANGEIRA REGULAR";"RUA GOMES DE CARVALHO, 1108, 6º ANDAR, VILA OLÍMPIA";"SÃO PAULO";"SP";"04.547-004";"(11) 3048-5808 / 3048-5897";"deivid.fernando@dlh.de/felipe.bonifatti@dlh.de";"";"null";"ATIVA"
"TVS";"QS";"SMARTWINGS A.S.";"ESTRANGEIRA NÃO REGULAR";"AV. RIO BRANCO 109, 21º ANDAR, CENTRO,";"RIO DE JANEIRO";"RJ";"20.040-004";"(21) 2242-1077 / (21) 98854-5450 ";"jgaa@aaalaw.com.br";"Ofício nº 16/2024/GEAM Empresas/GEAM/SAS-ANAC (SEI 12782517)";"2/2/2026 12:00:00 AM";"ATIVA"
"LYC";"L2";"LYNDEN AIR CARGO, LLC";"ESTRANGEIRA NÃO REGULAR";"RUA TUIUTI, 506 - 508,  CENTRO";"INDAIATUBA";"SP";"00.000-000";"000";"occ@flightsupportbrazil.com";"Ofício nº 227/2025/GEAM Empresas/GEAM/SAS-ANAC (SEI 12478620)";"12/17/2025 12:00:00 AM";"ATIVA"
"MMZ";"YU";"EUROATLANTIC AIRWAYS";"ESTRANGEIRA REGULAR";"AV. FRANCISCO GLICÉRIO, 1424 - CONJ. 1301 - CENTRO";"CAMPINAS";"SP";"13.012-100";"19 3326-2536 e 19 98175-2539";"heitor@mrhcadvogados.com.br";"";"5/10/2024 12:00:00 AM";"ATIVA"
"SAA";"SA";"SOUTH AFRICAN AIRWAYS STATE OWNED COMPANY (SOC) LIMITED";"ESTRANGEIRA REGULAR";"AV. PAULISTA, 1.765, 12º ANDAR, CONJ. 121 - SALA 5 - BELA VISTA";"SÃO PAULO";"SP";"01.311-930";"(11) 4096-4000 (11) 2720-0930 / (11) 98415-8002 / (11) 98596-1701";"neil.montegomery@montgomery.adv.br";"";"null";"ATIVA"
"JES";"WJ";"JETSMART AIRLINES S.A - ARGENTINA";"ESTRANGEIRA REGULAR";"AV. GUIDO CALOI, 1.000, 4º ANDAR , BLOCO 5, SALA 416 - JD. SÃO LUÍS";"SÃO PAULO";"SP";"05.802-140";"(21) 2220-0488";"luisa@diciero.adv.br";"";"12/20/2021 12:00:00 AM";"ATIVA"
"JAT";"JA";"JETSMART AIRLINES SPA - CHILE";"ESTRANGEIRA REGULAR";"AV. GUIDO CALOI 1000, 4º ANDAR, BLOCO 5, SALA 416";"SÃO PAULO";"SP";"05.802-140";"(21) 2220-0560";"luisa.diciero@adv..br";"Decisão nº 164, DE 04 de dezembro de 2019";"null";"ATIVA"
"AEA";"UX";"AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA";"ESTRANGEIRA REGULAR";"AV. TANCREDO NEVES, 620, SALA 3303, CAMINHO DAS ÁRVORES";"SALVADOR";"BA";"41.820-020";"(11) 3041-5135";"atencaoaocliente@air-europa.com";"";"null";"ATIVA"
"ETR";"ES";"ESTELAR LATINOAMERICA C.A.";"ESTRANGEIRA NÃO REGULAR";"AV. BARTOLOMEU DE CARLOS, 901 – DEPARTAMENTO 1201 – BLOCO ÍRIS";"GUARULHOS";"SP";"00";"00";"Marcos_uchoa@hotmail.com";"Ofício nº 210/2025/GEAM Empresas/GEAM/SAS-ANAC";"11/19/2026 12:00:00 AM";"ATIVA"
"FDX";"FX";"FEDEX - FEDERAL EXPRESS CORPORATION";"ESTRANGEIRA REGULAR";"RUA DOUTOR RUBENS GOMES BUENO, Nº 691, CONJUNTO 81, BLOCO B, CONDOMÍNIO 17.007, BAIRRO VÁRZEA DE BAIXO";"SÃO PAULO";"SP";"04.730-903";"(11) 5514-7340	";"cellene@fedex.com	";"";"null";"ATIVA"
"CCA";"CA";"AIR CHINA";"ESTRANGEIRA REGULAR";"AL SANTOS, 745, CONJ 42, CERQUEIRA CÉSAR";"SÃO PAULO";"SP";"01.419-001";"(11) 3186-8860 / (11) 3186-8870/(11) 3186-8890";"administrativo@airchina.com.br";"";"null";"ATIVA"
"UKL";"K1";"UKRAINE AIR ALLIANCE AIRLINES";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 - GRUPO 905/908 - CENTRO";"RIO DE JANEIRO";"RJ";"20.020-902";"21 2524-2446/98148-6698";"ops@aeromartel.com.br";"Ofício nº 142/2026/GEAM Empresas/GEAM/SAS-ANAC";"7/27/2026 12:00:00 AM";"ATIVA"
"DAP";"DA";"AEROVIAS DAP S/A.";"ESTRANGEIRA NÃO REGULAR";"RUA GENERAL SEVERIANO, 205, COBERTURA 01, BOTAFOGO";"RIO DE JANEIRO";"RJ";"22.290-040";"21-976945555";"abitbol@airways.com.br; mariano.epele@dap.cl";"Ofício nº 115/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13440592)";"6/8/2026 12:00:00 AM";"ATIVA"
"AFR";"AF";"SOCIÉTÉ AIR FRANCE";"ESTRANGEIRA REGULAR";"RUA GOMES DE CARVALHO, 1629, SALAS 304 E 305  VILA OLÍMPIA";"SÃO PAULO";"SP";"04.547-006";"(11) 3049-0900/ (11)30490902 / 08007248352";"maazevedo@airfrance.fr/maflahault@airfrance.fr";"";"null";"ATIVA"
"AVA";"AV";"AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA";"ESTRANGEIRA REGULAR";"AV. WASHINGTON LUIS, Nº 7.059 – CAMPO BELO";"SÃO PAULO";"SP";"01.310-928";"(11) 4637-0369 / 0800 891 8668";"camila.leao@avianca.com";"";"null";"ATIVA"
"RUC";"5R";"RUTAS AÉREAS, CA - RUTACA";"ESTRANGEIRA NÃO REGULAR";"RUA PORTO ALEGRE, 448, BAIRRO IMIGRANTE";"CAMPO BOM";"RS";"00.000-000";"51 99326-6201";"tjnj@uol.com.br; marcturismo@marcturismo.com.br";"Ofício nº 20/2026/GEAM Empresas/GEAM/SAS-ANAC";"2/4/2026 12:00:00 AM";"ATIVA"
"NOS";"NO";"NEOS S.P.A";"ESTRANGEIRA REGULAR";"RUA ALMIRANTE TAMANDARÉ, 500, ALTO DA RUA XV";"CURITIBA";"PR";"80.045-110";"(41) 99246-9124";"occ@flightsupportbrazil.com";"";"10/25/2021 12:00:00 AM";"ATIVA"
"RER";"0L";"SERVICIO AEREO REGIONAL REGAIR AIR LTDA";"ESTRANGEIRA NÃO REGULAR";"RUA MEM DE SÁ 743, OPERÁRIO";"NOVO HAMBURGO";"RS";"93.510-050";"(51) 91365508";"moraesdonascimentodiego@gmail.com";"Ofício nº 226/2025/GEAM Empresas/GEAM/SAS-ANAC (SEI 12470678)";"12/15/2025 12:00:00 AM";"ATIVA"
"UPS";"5X";"UPS - UNITED PARCEL SERVICE CO.";"ESTRANGEIRA REGULAR";"RUA DOM AGUIRRE, 554 - ESPAÇO UPS, VILA SOFIA";"SÃO PAULO";"SP";"04.671-245";"(11) 3123 9488 / 31239434";"upsbrlegal@ups.com";"";"null";"ATIVA"
"GXA";"G6";"GLOBAL CROSSING AIRLINES, INC.";"ESTRANGEIRA NÃO REGULAR";"RUA DR. MOTTA JUNIOR, 1400 APTO. 201 A, CENTRO";"SÃO JOSÉ DOS PINHAIS";"PR";"00.000-000";"41 99246-9124";"occ@flightsupportbrazil.com";"Ofício nº 2/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 12572640)";"1/15/2026 12:00:00 AM";"ATIVA"
"ITY";"AZ";"ITALIA TRANSPORTO AEREO S.P.A.";"ESTRANGEIRA REGULAR";"RUA VIEIRA DE MORAIS, Nº 1111, SALA 302,  CAMPO BELO   CEP 04617-014";"SÃO PAULO";"SP";"04.617-014";"(11) 2478-7559 ";"cinthya.perez@crrepresentação.com";"";"2/25/2022 12:00:00 AM";"ATIVA"
"HFM";"3L";"HI FLY LIMITED (EX-MALTA)";"ESTRANGEIRA NÃO REGULAR";"RUA PEREIRA FILGUEIRAS, 2020 - SALA 705 - ALDEOTA";"FORTALEZA";"CE";"60.160-194";"(85)3047-3737/(85) 99621-2310";"gcaracas@hifly.aero ";"Ofício nº 135/2026/GEAM Empresas/GEAM/SAS-ANAC (SEI 13579758)";"7/7/2026 12:00:00 AM";"ATIVA"
"PVV";"FP";"FLY PRO S.R.L.";"ESTRANGEIRA NÃO REGULAR";"AV. ERASMO BRAGA, 227 – GRUPO 905/908 – CENTRO ";"RIO DE JANEIRO";"RJ";"20.020-902";"(21) 2524-2446 e (21) 98148-6698";"ops@aeromartel.com.br";"Ofício nº 154/2026/GEAM Empresas/GEAM/SSA-ANAC";"8/21/2026 12:00:00 AM";"ATIVA"
"ICE";"FI";"ICELANDAIR";"ESTRANGEIRA NÃO REGULAR";"RUA DOUTOR MOTTA JUNIOR,1400 - AP 201, CENTRO";"SÃO JOSÉ DOS PINHAIS";"PR";"83.005-170";"(41) 99246-9124";"occ@flightsupportbrazil.com";"Ofício nº 223/2025/GEAM Empresas/GEAM/SAS-ANAC";"12/15/2025 12:00:00 AM";"ATIVA"
"KRE";"6N";"AEROSUCRE SA";"ESTRANGEIRA NÃO REGULAR";"RUA PRESIDENTE JOÃO GOULART,539 - JARDIM CHAPADÃO ";"CAMPINAS";"SP";"13.070-060";"19 99596-9494/ 19 99136-9264";"vmorelli@platinumglobal.com.br; morellivanderlei@gmail.com";"Ofício nº 148/2026/GEAM Empresas/GEAM/SSA-ANAC";"8/7/2026 12:00:00 AM";"ATIVA"
"EAL";"2D";"EASTERN AIRLINES, LLC";"ESTRANGEIRA NÃO REGULAR";"RUA TUIUTI, 506-508 – CENTRO";"INDAIATUBA";"SP";"13.339-010";"000";" occ@flightsupportbrazil.com";"Ofício nº 207/2025/GEAM Empresas/GEAM/SAS-ANAC";"9/1/2026 12:00:00 AM";"ATIVA"
"TAY";"3V";"ASL AIRLINES BELGIUM";"ESTRANGEIRA NÃO REGULAR";"N/I";"N/I";"N/I";"0";"N/I";"N/I";"Ofício nº 131/2026/GEAM Empresas/GEAM/SAS-ANAC";"7/3/2026 12:00:00 AM";"ATIVA"
"NAX";"DY+";"NORWEGIAN AIR SHUTTLE";"ESTRANGEIRA OFFLINE";"N/I";"N/I";"N/I";"0";"N/I";"N/I";"";"null";"ATIVA"
